,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
3417,2018,경남,사천시,4824000000,초등학교,2018-04-01,남자,554,580,576,-4,-22,-26,-0.006896552,-0.038194444,-0.044827586
3418,2018,경남,김해시,4825000000,초등학교,2018-04-01,전체,5838,5979,5923,-56,-85,-141,-0.009366115,-0.014350836,-0.023582539
3419,2018,경남,김해시,4825000000,초등학교,2018-04-01,여자,2929,2982,2952,-30,-23,-53,-0.010060362,-0.007791328,-0.017773307
3420,2018,경남,김해시,4825000000,초등학교,2018-04-01,남자,2909,2997,2971,-26,-62,-88,-0.008675342,-0.020868394,-0.029362696
3421,2018,경남,밀양시,4827000000,초등학교,2018-04-01,전체,648,664,680,16,-32,-16,0.024096386,-0.047058824,-0.024096386
3422,2018,경남,밀양시,4827000000,초등학교,2018-04-01,여자,315,334,329,-5,-14,-19,-0.01497006,-0.042553191,-0.056886228
3423,2018,경남,밀양시,4827000000,초등학교,2018-04-01,남자,333,330,351,21,-18,3,0.063636364,-0.051282051,0.009090909
3424,2018,경남,거제시,4831000000,초등학교,2018-04-01,전체,3396,3626,3542,-84,-146,-230,-0.023166023,-0.04121965,-0.063430778
3425,2018,경남,거제시,4831000000,초등학교,2018-04-01,여자,1665,1749,1716,-33,-51,-84,-0.018867925,-0.02972028,-0.048027444
3426,2018,경남,거제시,4831000000,초등학교,2018-04-01,남자,1731,1877,1826,-51,-95,-146,-0.027171018,-0.052026287,-0.077783697
3427,2018,경남,양산시,4833000000,초등학교,2018-04-01,전체,3935,3567,3793,226,142,368,0.063358565,0.037437385,0.103167928
3428,2018,경남,양산시,4833000000,초등학교,2018-04-01,여자,1948,1760,1851,91,97,188,0.051704545,0.052404106,0.106818182
3429,2018,경남,양산시,4833000000,초등학교,2018-04-01,남자,1987,1807,1942,135,45,180,0.074709463,0.023171988,0.099612618
3430,2018,경남,의령군,4872000000,초등학교,2018-04-01,전체,120,150,137,-13,-17,-30,-0.086666667,-0.124087591,-0.2
3431,2018,경남,의령군,4872000000,초등학교,2018-04-01,여자,66,81,72,-9,-6,-15,-0.111111111,-0.083333333,-0.185185185
3432,2018,경남,의령군,4872000000,초등학교,2018-04-01,남자,54,69,65,-4,-11,-15,-0.057971014,-0.169230769,-0.217391304
3433,2018,경남,함안군,4873000000,초등학교,2018-04-01,전체,598,602,594,-8,4,-4,-0.013289037,0.006734007,-0.006644518
3434,2018,경남,함안군,4873000000,초등학교,2018-04-01,여자,308,319,319,0,-11,-11,0,-0.034482759,-0.034482759
3435,2018,경남,함안군,4873000000,초등학교,2018-04-01,남자,290,283,275,-8,15,7,-0.028268551,0.054545455,0.024734982
3436,2018,경남,창녕군,4874000000,초등학교,2018-04-01,전체,391,422,429,7,-38,-31,0.016587678,-0.088578089,-0.073459716
3437,2018,경남,창녕군,4874000000,초등학교,2018-04-01,여자,191,191,196,5,-5,0,0.02617801,-0.025510204,0
3438,2018,경남,창녕군,4874000000,초등학교,2018-04-01,남자,200,231,233,2,-33,-31,0.008658009,-0.141630901,-0.134199134
3439,2018,경남,고성군,4882000000,초등학교,2018-04-01,전체,368,372,364,-8,4,-4,-0.021505376,0.010989011,-0.010752688
3440,2018,경남,고성군,4882000000,초등학교,2018-04-01,여자,174,174,171,-3,3,0,-0.017241379,0.01754386,0
3441,2018,경남,고성군,4882000000,초등학교,2018-04-01,남자,194,198,193,-5,1,-4,-0.025252525,0.005181347,-0.02020202
3442,2018,경남,남해군,4884000000,초등학교,2018-04-01,전체,197,202,209,7,-12,-5,0.034653465,-0.057416268,-0.024752475
3443,2018,경남,남해군,4884000000,초등학교,2018-04-01,여자,78,91,97,6,-19,-13,0.065934066,-0.195876289,-0.142857143
3444,2018,경남,남해군,4884000000,초등학교,2018-04-01,남자,119,111,112,1,7,8,0.009009009,0.0625,0.072072072
3445,2018,경남,하동군,4885000000,초등학교,2018-04-01,전체,226,247,238,-9,-12,-21,-0.036437247,-0.050420168,-0.085020243
3446,2018,경남,하동군,4885000000,초등학교,2018-04-01,여자,95,121,114,-7,-19,-26,-0.05785124,-0.166666667,-0.214876033
3447,2018,경남,하동군,4885000000,초등학교,2018-04-01,남자,131,126,124,-2,7,5,-0.015873016,0.056451613,0.03968254
3448,2018,경남,산청군,4886000000,초등학교,2018-04-01,전체,149,163,154,-9,-5,-14,-0.055214724,-0.032467532,-0.085889571
3449,2018,경남,산청군,4886000000,초등학교,2018-04-01,여자,61,69,63,-6,-2,-8,-0.086956522,-0.031746032,-0.115942029
3450,2018,경남,산청군,4886000000,초등학교,2018-04-01,남자,88,94,91,-3,-3,-6,-0.031914894,-0.032967033,-0.063829787
3451,2018,경남,함양군,4887000000,초등학교,2018-04-01,전체,191,211,208,-3,-17,-20,-0.014218009,-0.081730769,-0.09478673
3452,2018,경남,함양군,4887000000,초등학교,2018-04-01,여자,98,109,107,-2,-9,-11,-0.018348624,-0.08411215,-0.100917431
3453,2018,경남,함양군,4887000000,초등학교,2018-04-01,남자,93,102,101,-1,-8,-9,-0.009803922,-0.079207921,-0.088235294
3454,2018,경남,거창군,4888000000,초등학교,2018-04-01,전체,519,502,517,15,2,17,0.029880478,0.003868472,0.033864542
3455,2018,경남,거창군,4888000000,초등학교,2018-04-01,여자,250,236,237,1,13,14,0.004237288,0.054852321,0.059322034
3456,2018,경남,거창군,4888000000,초등학교,2018-04-01,남자,269,266,280,14,-11,3,0.052631579,-0.039285714,0.011278195
3457,2018,경남,합천군,4889000000,초등학교,2018-04-01,전체,212,247,239,-8,-27,-35,-0.032388664,-0.112970711,-0.141700405
3458,2018,경남,합천군,4889000000,초등학교,2018-04-01,여자,103,130,123,-7,-20,-27,-0.053846154,-0.162601626,-0.207692308
