,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
44,경기,의정부시,-5.595329489,0.7419184,-12.5175152,3.419287808,0.053461093,13.2594336,-0.299132429,,
45,경기,이천시,-3.372145048,2.4284475,-11.2676056,3.286425922,0.050173568,13.6960531,-0.16919255,,
46,경기,파주시,-0.380490637,5.5715658,-3.9569727,2.720556886,0.036171748,9.5285385,-0.013763011,,
47,경기,평택시,3.27407453,9.2973436,-4.8239896,3.940199028,0.06635048,14.1213332,0.217236418,,
48,경기,포천시,-5.93430077,9.5637584,-12.5748503,4.972218035,0.091886681,22.1386087,-0.5452832,,
49,경기,하남시,13.30154379,57.8358209,-14.7540984,21.8186406,0.508733285,72.5899193,6.76693807,,
50,경기,화성시,6.178100167,21.4941569,-8.310992,8.960269738,0.19056673,29.8051489,1.177340347,,
51,경남,거제시,-4.398010204,2.5605536,-10.2747909,2.701344358,0.035696354,12.8353445,-0.156992931,,
52,경남,거창군,1.660774322,12.8318584,-11.4754098,6.294838352,0.124613498,24.3072682,0.206954897,,
53,경남,고성군,-5.436654874,5.8479532,-14.3518519,4.751339144,0.08642127,20.1998051,-0.469842619,,
54,경남,김해시,-0.217499126,5.2072628,-5.915144,3.243281626,0.049106009,11.1224068,-0.010680514,,
55,경남,남해군,-3.848718267,14.7826087,-17.6870748,7.890635124,0.164099772,32.4696835,-0.631573791,,
56,경남,밀양시,-0.524803015,9.3294461,-7.6470588,4.46957224,0.079449251,16.9765049,-0.041695207,,
57,경남,사천시,-4.141230737,6.772009,-18.1818182,5.038076375,0.093516274,24.9538272,-0.38727247,,
58,경남,산청군,-13.68146511,13.8297872,-35.8974359,10.21052206,0.221502879,49.7272231,-3.03048391,,
59,경남,양산시,2.76005617,13.8495093,-5.8168943,6.152230443,0.121084818,19.6664036,0.3342009,,
60,경남,의령군,-21.84653677,0,-33.3333333,7.792950937,0.161682682,33.3333333,-3.532206658,,
61,경남,진주시,4.127448178,14.1414141,-0.3484321,3.619863238,0.058424116,14.4898462,0.241142511,,
62,경남,창녕군,-3.168763715,14.5348837,-16.5803109,9.034460173,0.192402493,31.1151946,-0.609678037,,
