,prov,distinct,입학년도,총입학자,남자입학,여자입학,인구나이,인구연도,인구총합,인구남자,인구여자,(입학합계)/(인구총합*총합보정),(입학남자)/(인구남자*남자보정),(입학여자)/(인구여자*여자보정),,,
1,강원,강릉시,2010,2054,1059,995,4,2008,2018,1050,968,1.038957509,1.027673102,1.051199598,,총합보정,0.9796738
2,강원,강릉시,2011,1935,989,946,4,2009,1763,912,851,1.120333097,1.104968206,1.136839197,,남자보정,0.9814127
3,강원,강릉시,2012,1735,919,816,4,2010,1729,957,772,1.024290146,0.978479885,1.080961737,,여자보정,0.9778282
4,강원,강릉시,2013,1704,923,781,4,2011,1903,1016,887,0.914006557,0.925670283,0.900460936,,,
5,강원,강릉시,2014,1839,999,840,4,2012,1639,844,795,1.145305337,1.206066821,1.080561825,,,
6,강원,강릉시,2015,1627,850,777,4,2013,1662,819,843,0.999252037,1.057507248,0.942607535,,,
7,강원,강릉시,2016,1659,820,839,4,2014,1652,868,784,1.025073136,0.962592461,1.094418337,,,
8,강원,강릉시,2017,1625,869,756,4,2015,1650,873,777,1.005282055,1.014270657,0.99503473,,,
9,강원,강릉시,2018,1662,875,787,4,2016,1627,823,804,1.042706247,1.083319465,1.001050868,,,
10,강원,강릉시,2019,1627,824,803,4,2017,1447,778,669,1.147724178,1.079185107,1.227515233,,,
11,강원,강릉시,2020,1451,770,681,4,2018,1373,693,680,1.078736526,1.132154818,1.024178517,,,
12,강원,고성군,2010,196,99,97,4,2008,219,111,108,0.913546095,0.908783732,0.918513284,,,
13,강원,고성군,2011,175,97,78,4,2009,194,98,96,0.920777774,1.008541996,0.8309231,,,
14,강원,고성군,2012,183,102,81,4,2010,195,104,91,0.957932675,0.999344349,0.910292762,,,
15,강원,고성군,2013,181,99,82,4,2011,169,97,72,1.093227076,1.039948395,1.164712721,,,
16,강원,고성군,2014,162,91,71,4,2012,157,89,68,1.053255828,1.04183685,1.06779258,,,
17,강원,고성군,2015,160,94,66,4,2013,146,70,76,1.118627871,1.368289966,0.888112139,,,
18,강원,고성군,2016,144,69,75,4,2014,153,83,70,0.960703937,0.847070051,1.095722769,,,
19,강원,고성군,2017,154,82,72,4,2015,161,91,70,0.976367588,0.918165116,1.051893858,,,
20,강원,고성군,2018,163,90,73,4,2016,169,94,75,0.984508361,0.975580216,0.995403262,,,
21,강원,고성군,2019,155,78,77,4,2017,144,68,76,1.098721733,1.168783356,1.036130829,,,
22,강원,고성군,2020,150,76,74,4,2018,143,75,68,1.070714615,1.032525194,1.112910577,,,
23,강원,동해시,2010,980,531,449,4,2008,920,496,424,1.08731845,1.090840298,1.082973793,,,
24,강원,동해시,2011,943,507,436,4,2009,848,464,384,1.13510059,1.113366904,1.161161767,,,
25,강원,동해시,2012,845,436,409,4,2010,827,435,392,1.042964937,1.021281726,1.067025268,,,
26,강원,동해시,2013,845,445,400,4,2011,877,455,422,0.983502854,0.996545065,0.969359795,,,
27,강원,동해시,2014,928,484,444,4,2012,786,423,363,1.205157864,1.165878579,1.250874698,,,
28,강원,동해시,2015,836,452,384,4,2013,843,425,418,1.012271971,1.083671953,0.939490527,,,
29,강원,동해시,2016,869,429,440,4,2014,843,449,394,1.052230075,0.973552284,1.14207314,,,
30,강원,동해시,2017,810,426,384,4,2015,827,431,396,0.999765206,1.007118694,0.991684445,,,
31,강원,동해시,2018,829,436,393,4,2016,868,440,428,0.974884834,1.009676251,0.939044653,,,
32,강원,동해시,2019,861,439,422,4,2017,759,394,365,1.157923544,1.135315656,1.18237993,,,
33,강원,동해시,2020,756,386,370,4,2018,734,393,341,1.051342557,1.00079029,1.109646909,,,
34,강원,삼척시,2010,522,267,255,4,2008,573,271,302,0.929896022,1.003899641,0.863516619,,,
35,강원,삼척시,2011,547,268,279,4,2009,491,247,244,1.137167249,1.105569806,1.169369709,,,
36,강원,삼척시,2012,473,234,239,4,2010,488,268,220,0.989372484,0.889670913,1.11099648,,,
37,강원,삼척시,2013,464,256,208,4,2011,537,285,252,0.88198704,0.91525779,0.844112355,,,
38,강원,삼척시,2014,500,266,234,4,2012,478,231,247,1.067727963,1.173324084,0.968849606,,,
39,강원,삼척시,2015,447,216,231,4,2013,485,264,221,0.940771806,0.833677639,1.068949452,,,
40,강원,삼척시,2016,461,249,212,4,2014,486,246,240,0.968240323,1.031365426,0.903362549,,,
41,강원,삼척시,2017,464,236,228,4,2015,473,243,230,1.001325667,0.989587174,1.013781762,,,
42,강원,삼척시,2018,450,233,217,4,2016,511,269,242,0.898897397,0.882575708,0.917026383,,,
43,강원,삼척시,2019,486,260,226,4,2017,439,218,221,1.130030741,1.21524875,1.045812018,,,
44,강원,삼척시,2020,400,199,201,4,2018,426,223,203,0.958448763,0.909277704,1.012598972,,,
45,강원,속초시,2010,847,429,418,4,2008,805,423,382,1.074004346,1.033392377,1.119052294,,,
46,강원,속초시,2011,803,424,379,4,2009,680,340,340,1.20538322,1.27067729,1.139981375,,,
47,강원,속초시,2012,677,339,338,4,2010,688,342,346,1.004427835,1.010001272,0.999028929,,,
48,강원,속초시,2013,680,340,340,4,2011,712,383,329,0.974871621,0.904541447,1.056867351,,,
49,강원,속초시,2014,712,399,313,4,2012,630,320,310,1.153607187,1.270489985,1.032571435,,,
50,강원,속초시,2015,644,312,332,4,2013,614,325,289,1.07062161,0.978181763,1.174837238,,,
51,강원,속초시,2016,597,314,283,4,2014,708,348,360,0.860715418,0.919387792,0.803935854,,,
52,강원,속초시,2017,666,316,350,4,2015,673,355,318,1.010130941,0.906999522,1.125585234,,,
53,강원,속초시,2018,648,342,306,4,2016,671,314,357,0.985759553,1.109800169,0.876578215,,,
54,강원,속초시,2019,663,324,339,4,2017,612,301,311,1.10581026,1.096798488,1.11474818,,,
55,강원,속초시,2020,579,274,305,4,2018,630,309,321,0.938115957,0.903525496,0.97170015,,,
56,강원,양구군,2010,210,106,104,4,2008,235,115,120,0.912157727,0.939196258,0.886317973,,,
57,강원,양구군,2011,222,105,117,4,2009,209,118,91,1.084239431,0.906683308,1.314867322,,,
58,강원,양구군,2012,192,100,92,4,2010,212,108,104,0.924450958,0.943462348,0.904673671,,,
59,강원,양구군,2013,199,110,89,4,2011,211,115,96,0.962695917,0.974637626,0.948104562,,,
60,강원,양구군,2014,209,115,94,4,2012,211,106,105,1.011072597,1.105453054,0.915537247,,,
61,강원,양구군,2015,197,106,91,4,2013,177,88,89,1.136086682,1.227358746,1.045656035,,,
62,강원,양구군,2016,166,85,81,4,2014,215,106,109,0.788112357,0.817073996,0.759969186,,,
63,강원,양구군,2017,197,93,104,4,2015,218,120,98,0.922419003,0.789677986,1.085287314,,,
64,강원,양구군,2018,199,110,89,4,2016,229,114,115,0.887025496,0.983187079,0.7914612,,,
65,강원,양구군,2019,195,97,98,4,2017,179,84,95,1.111987971,1.176632329,1.054969571,,,
66,강원,양구군,2020,166,83,83,4,2018,186,94,92,0.91099009,0.899701754,0.922630331,,,
67,강원,양양군,2010,207,113,94,4,2008,206,117,89,1.02570302,0.984103803,1.080128212,,,
68,강원,양양군,2011,180,103,77,4,2009,189,97,92,0.972140888,1.081966512,0.855934163,,,
69,강원,양양군,2012,169,85,84,4,2010,170,85,85,1.014743533,1.018939336,1.010643118,,,
70,강원,양양군,2013,168,82,86,4,2011,197,97,100,0.870485547,0.861371398,0.879500142,,,
71,강원,양양군,2014,175,89,86,4,2012,166,93,73,1.076089688,0.975113989,1.204794716,,,
72,강원,양양군,2015,150,87,63,4,2013,167,80,87,0.91683946,1.108096528,0.740557457,,,
73,강원,양양군,2016,151,70,81,4,2014,158,76,82,0.975524923,0.938496757,1.010202943,,,
74,강원,양양군,2017,158,85,73,4,2015,160,84,76,1.007988583,1.031069567,0.982305851,,,
75,강원,양양군,2018,146,74,72,4,2016,155,79,76,0.961478698,0.954449505,0.968849606,,,
76,강원,양양군,2019,154,83,71,4,2017,145,80,65,1.084104701,1.057149561,1.117075315,,,
77,강원,양양군,2020,141,76,65,4,2018,133,70,63,1.082146304,1.106276994,1.055140444,,,
78,강원,영월군,2010,283,144,139,4,2008,297,144,153,0.972631868,1.018939336,0.929096518,,,
79,강원,영월군,2011,287,147,140,4,2009,255,142,113,1.148841791,1.054817482,1.267030458,,,
80,강원,영월군,2012,244,132,112,4,2010,256,134,122,0.972900373,1.003731287,0.938848799,,,
81,강원,영월군,2013,253,137,116,4,2011,268,132,136,0.963616518,1.057535523,0.872281263,,,
