,prov,distinct,입학년도,총입학자,남자입학,여자입학,인구나이,인구연도,인구총합,인구남자,인구여자,(입학합계)/(인구총합*총합보정),(입학남자)/(인구남자*남자보정),(입학여자)/(인구여자*여자보정),,,
53,강원,속초시,2013,680,340,340,5,2012,734,396,338,0.949117974,0.87762878,1.033032707,,,
54,강원,속초시,2014,712,399,313,5,2013,630,315,315,1.157835309,1.294760576,1.020435688,,,
55,강원,속초시,2015,644,312,332,5,2014,632,333,299,1.043941432,0.957717638,1.140299019,,,
56,강원,속초시,2016,597,314,283,5,2015,710,348,362,0.861436616,0.9223113,0.802841327,,,
57,강원,속초시,2017,666,316,350,5,2016,677,356,321,1.007843051,0.907327784,1.119734004,,,
58,강원,속초시,2018,648,342,306,5,2017,673,322,351,0.986432305,1.085668806,0.895295013,,,
59,강원,속초시,2019,663,324,339,5,2018,606,296,310,1.120851944,1.118872048,1.123026125,,,
60,강원,속초시,2020,579,274,305,5,2019,635,315,320,0.934140462,0.889133829,0.978817479,,,
61,강원,양구군,2009,205,117,88,5,2008,217,113,104,0.967835332,1.058362744,0.868962806,,,
62,강원,양구군,2010,210,106,104,5,2009,234,116,118,0.919413302,0.934060488,0.905113801,,,
63,강원,양구군,2011,222,105,117,5,2010,196,108,88,1.160390724,0.99378553,1.36538474,,,
64,강원,양구군,2012,192,100,92,5,2011,207,106,101,0.950250766,0.964320191,0.935445109,,,
65,강원,양구군,2013,199,110,89,5,2012,215,122,93,0.948248058,0.921637166,0.982785891,,,
66,강원,양구군,2014,209,115,94,5,2013,208,109,99,1.029414536,1.078446158,0.975089577,,,
67,강원,양구군,2015,197,106,91,5,2014,173,92,81,1.166614764,1.177728442,1.153740741,,,
68,강원,양구군,2016,166,85,81,5,2015,207,101,106,0.821570975,0.860249992,0.78474943,,,
69,강원,양구군,2017,197,93,104,5,2016,213,117,96,0.947532179,0.812501576,1.112535714,,,
70,강원,양구군,2018,199,110,89,5,2017,217,112,105,0.939508444,1.003926199,0.870467504,,,
71,강원,양구군,2019,195,97,98,5,2018,183,85,98,1.091668721,1.166487083,1.026956044,,,
72,강원,양구군,2020,166,83,83,5,2019,177,94,83,0.960820293,0.902562664,1.026956044,,,
73,강원,양양군,2009,183,92,91,5,2008,223,116,107,0.840724245,0.810694009,0.873392523,,,
74,강원,양양군,2010,207,113,94,5,2009,210,118,92,1.009853549,0.978866716,1.049281175,,,
75,강원,양양군,2011,180,103,77,5,2010,197,95,102,0.936081418,1.108257668,0.775251131,,,
76,강원,양양군,2012,169,85,84,5,2011,173,90,83,1.000801498,0.965391658,1.039329008,,,
77,강원,양양군,2013,168,82,86,5,2012,184,92,92,0.935403098,0.911072945,0.95998065,,,
78,강원,양양군,2014,175,89,86,5,2013,163,93,70,1.099911618,0.978214697,1.261688854,,,
79,강원,양양군,2015,150,87,63,5,2014,162,74,88,0.948601025,1.201751459,0.735207168,,,
80,강원,양양군,2016,151,70,81,5,2015,157,83,74,0.985336657,0.862079014,1.124100534,,,
81,강원,양양군,2017,158,85,73,5,2016,159,82,77,1.01804578,1.05957621,0.973607678,,,
82,강원,양양군,2018,146,74,72,5,2017,156,82,74,0.958816729,0.922454583,0.999200475,,,
83,강원,양양군,2019,154,83,71,5,2018,136,72,64,1.160083254,1.1783457,1.139279361,,,
84,강원,양양군,2020,141,76,65,5,2019,146,79,67,0.989403864,0.983362463,0.99630064,,,
85,강원,영월군,2009,286,136,150,5,2008,281,144,137,1.042718451,0.965391658,1.124404428,,,
86,강원,영월군,2010,283,144,139,5,2009,300,148,152,0.966434725,0.994552932,0.939124277,,,
87,강원,영월군,2011,287,147,140,5,2010,252,138,114,1.166779261,1.088843276,1.261174089,,,
88,강원,영월군,2012,244,132,112,5,2011,254,132,122,0.984154891,1.022179402,0.942779319,,,
89,강원,영월군,2013,253,137,116,5,2012,269,140,129,0.963552952,1.000275558,0.923464349,,,
90,강원,영월군,2014,254,136,118,5,2013,242,125,117,1.07529022,1.11213119,1.035733446,,,
91,강원,영월군,2015,232,120,112,5,2014,211,114,97,1.126452478,1.075978318,1.185763679,,,
92,강원,영월군,2016,205,113,92,5,2015,223,130,93,0.941794919,0.888509788,1.015913506,,,
93,강원,영월군,2017,221,121,100,5,2016,253,126,127,0.894909457,0.981616728,0.808626806,,,
94,강원,영월군,2018,238,115,123,5,2017,209,116,93,1.166643098,1.013367511,1.358232187,,,
95,강원,영월군,2019,198,117,81,5,2018,183,99,84,1.108463624,1.208030203,0.990279042,,,
96,강원,영월군,2020,168,88,80,5,2019,190,107,83,0.905864053,0.84067091,0.989837151,,,
97,강원,원주시,2009,3179,1678,1501,5,2008,3303,1733,1570,0.986028118,0.989738625,0.981822307,,,
98,강원,원주시,2010,3262,1724,1538,5,2009,3188,1641,1547,1.048269595,1.073880128,1.02098151,,,
99,강원,원주시,2011,3221,1671,1550,5,2010,3070,1602,1468,1.074879288,1.066205856,1.084320074,,,
100,강원,원주시,2012,3041,1599,1442,5,2011,3026,1550,1476,1.02956754,1.054493461,1.003299875,,,
101,강원,원주시,2013,3061,1576,1485,5,2012,3429,1765,1664,0.91454102,0.912722231,0.91648421,,,
102,강원,원주시,2014,3415,1764,1651,5,2013,3084,1591,1493,1.134445623,1.13332776,1.13563592,,,
103,강원,원주시,2015,3085,1569,1516,5,2014,3084,1623,1461,1.024821302,0.988169736,1.065616265,,,
104,강원,원주시,2016,3173,1655,1518,5,2015,3256,1631,1625,0.998373445,1.037220669,0.959334938,,,
