"","SIG_CD","SIG_ENG_NM","SIG_KOR_NM","연도","시도","행정구역","코드","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률"
"188","46230","Gwangyang-si","광양시","2021","전남","광양시","4623000000","초등학교","44287","전체",1357,1510,1493,-17,-136,-153,-0.011258278,-0.091091762,-0.101324503
"189","46710","Damyang-gun","담양군","2021","전남","담양군","4671000000","초등학교","44287","전체",237,258,242,-16,-5,-21,-0.062015504,-0.020661157,-0.081395349
"190","46720","Gokseong-gun","곡성군","2021","전남","곡성군","4672000000","초등학교","44287","전체",103,132,126,-6,-23,-29,-0.045454545,-0.182539683,-0.21969697
"191","46730","Gurye-gun","구례군","2021","전남","구례군","4673000000","초등학교","44287","전체",111,122,118,-4,-7,-11,-0.032786885,-0.059322034,-0.090163934
"192","46770","Goheung-gun","고흥군","2021","전남","고흥군","4677000000","초등학교","44287","전체",248,262,270,8,-22,-14,0.030534351,-0.081481481,-0.053435115
"193","46780","Boseong-gun","보성군","2021","전남","보성군","4678000000","초등학교","44287","전체",163,208,190,-18,-27,-45,-0.086538462,-0.142105263,-0.216346154
"194","46790","Hwasun-gun","화순군","2021","전남","화순군","4679000000","초등학교","44287","전체",357,357,364,7,-7,0,0.019607843,-0.019230769,0
"195","46800","Jangheung-gun","장흥군","2021","전남","장흥군","4680000000","초등학교","44287","전체",213,227,215,-12,-2,-14,-0.052863436,-0.009302326,-0.061674009
"196","46810","Gangjin-gun","강진군","2021","전남","강진군","4681000000","초등학교","44287","전체",177,199,187,-12,-10,-22,-0.060301508,-0.053475936,-0.110552764
"197","46820","Haenam-gun","해남군","2021","전남","해남군","4682000000","초등학교","44287","전체",374,418,382,-36,-8,-44,-0.086124402,-0.020942408,-0.105263158
"198","46830","Yeongam-gun","영암군","2021","전남","영암군","4683000000","초등학교","44287","전체",326,406,386,-20,-60,-80,-0.049261084,-0.155440415,-0.197044335
"199","46840","Muan-gun","무안군","2021","전남","무안군","4684000000","초등학교","44287","전체",867,792,795,3,72,75,0.003787879,0.090566038,0.09469697
"200","46860","Hampyeong-gun","함평군","2021","전남","함평군","4686000000","초등학교","44287","전체",121,169,157,-12,-36,-48,-0.071005917,-0.229299363,-0.284023669
"201","46870","Yeonggwang-gun","영광군","2021","전남","영광군","4687000000","초등학교","44287","전체",294,337,318,-19,-24,-43,-0.056379822,-0.075471698,-0.127596439
"202","46880","Jangseong-gun","장성군","2021","전남","장성군","4688000000","초등학교","44287","전체",307,311,305,-6,2,-4,-0.019292605,0.006557377,-0.012861736
"203","46890","Wando-gun","완도군","2021","전남","완도군","4689000000","초등학교","44287","전체",347,345,336,-9,11,2,-0.026086957,0.032738095,0.005797101
"204","46900","Jindo-gun","진도군","2021","전남","진도군","4690000000","초등학교","44287","전체",168,185,181,-4,-13,-17,-0.021621622,-0.071823204,-0.091891892
"205","46910","Sinan-gun","신안군","2021","전남","신안군","4691000000","초등학교","44287","전체",128,177,170,-7,-42,-49,-0.039548023,-0.247058824,-0.276836158
"206","47111","Nam-gu, Pohang-si","포항시 남구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","47113","Buk-gu, Pohang-si","포항시 북구",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","47130","Gyeongju-si","경주시","2021","경북","경주시","4713000000","초등학교","44287","전체",1774,1741,1761,20,13,33,0.011487651,0.007382169,0.018954624
"209","47150","Gimcheon-si","김천시","2021","경북","김천시","4715000000","초등학교","44287","전체",1077,1141,1117,-24,-40,-64,-0.021034181,-0.035810206,-0.056091148
"210","47170","Andong-si","안동시","2021","경북","안동시","4717000000","초등학교","44287","전체",1176,1128,1117,-11,59,48,-0.009751773,0.052820054,0.042553191
"211","47190","Gumi-si","구미시","2021","경북","구미시","4719000000","초등학교","44287","전체",4685,4947,4906,-41,-221,-262,-0.008287851,-0.045046881,-0.052961391
"212","47210","Yeongju-si","영주시","2021","경북","영주시","4721000000","초등학교","44287","전체",665,673,671,-2,-6,-8,-0.002971768,-0.008941878,-0.011887073
"213","47230","Yeongcheon-si","영천시","2021","경북","영천시","4723000000","초등학교","44287","전체",511,600,578,-22,-67,-89,-0.036666667,-0.115916955,-0.148333333
"214","47250","Sangju-si","상주시","2021","경북","상주시","4725000000","초등학교","44287","전체",521,551,550,-1,-29,-30,-0.001814882,-0.052727273,-0.054446461
"215","47280","Mungyeong-si","문경시","2021","경북","문경시","4728000000","초등학교","44287","전체",389,429,424,-5,-35,-40,-0.011655012,-0.08254717,-0.093240093
"216","47290","Gyeongsan-si","경산시","2021","경북","경산시","4729000000","초등학교","44287","전체",2210,2394,2376,-18,-166,-184,-0.007518797,-0.06986532,-0.076858814
