"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률","전체인구","n_2","n_1","n_2_diff","n_1_diff","n_2_diff_rate","n_1_diff_rate"
"24","2021","서울","성북구","초등학교",2021-04-01,"남자",1627,1649,1642,-7,-15,-22,-0.00424499696785931,-0.00913520097442144,-0.0133414190418435,434383,439754,442174,-5371,-7791,-0.0122136467206666,-0.0176197605467531
"25","2021","서울","강북구","초등학교",2021-04-01,"전체",1394,1877,1778,-99,-384,-483,-0.0527437400106553,-0.215973003374578,-0.257325519445924,303622,316604,312691,-12982,-9069,-0.041003903930462,-0.0290030733215858
"26","2021","서울","강북구","초등학교",2021-04-01,"여자",683,872,815,-57,-132,-189,-0.0653669724770642,-0.161963190184049,-0.216743119266055,303622,316604,312691,-12982,-9069,-0.041003903930462,-0.0290030733215858
"27","2021","서울","강북구","초등학교",2021-04-01,"남자",711,1005,963,-42,-252,-294,-0.0417910447761194,-0.261682242990654,-0.292537313432836,303622,316604,312691,-12982,-9069,-0.041003903930462,-0.0290030733215858
"28","2021","서울","도봉구","초등학교",2021-04-01,"전체",2249,2297,2200,-97,49,-48,-0.0422289943404441,0.0222727272727273,-0.020896821941663,321227,337346,330707,-16119,-9480,-0.0477818026595839,-0.0286658582975262
"29","2021","서울","도봉구","초등학교",2021-04-01,"여자",1114,1097,1050,-47,64,17,-0.0428441203281677,0.060952380952381,0.0154968094804011,321227,337346,330707,-16119,-9480,-0.0477818026595839,-0.0286658582975262
"30","2021","서울","도봉구","초등학교",2021-04-01,"남자",1135,1200,1150,-50,-15,-65,-0.0416666666666667,-0.0130434782608696,-0.0541666666666667,321227,337346,330707,-16119,-9480,-0.0477818026595839,-0.0286658582975262
"31","2021","서울","노원구","초등학교",2021-04-01,"전체",3751,3806,3770,-36,-19,-55,-0.00945874934314241,-0.00503978779840849,-0.0144508670520231,517417,539884,530302,-22467,-12885,-0.0416144949655852,-0.0242974757779529
"32","2021","서울","노원구","초등학교",2021-04-01,"여자",1826,1881,1878,-3,-52,-55,-0.00159489633173844,-0.0276890308839191,-0.0292397660818713,517417,539884,530302,-22467,-12885,-0.0416144949655852,-0.0242974757779529
"33","2021","서울","노원구","초등학교",2021-04-01,"남자",1925,1925,1892,-33,33,0,-0.0171428571428571,0.0174418604651163,0,517417,539884,530302,-22467,-12885,-0.0416144949655852,-0.0242974757779529
"34","2021","서울","은평구","초등학교",2021-04-01,"전체",3074,3549,3398,-151,-324,-475,-0.0425471963933502,-0.0953502060035315,-0.133840518455903,474843,484267,477973,-9424,-3130,-0.0194603390278503,-0.00654848704843161
"35","2021","서울","은평구","초등학교",2021-04-01,"여자",1473,1738,1640,-98,-167,-265,-0.0563866513233602,-0.101829268292683,-0.152474108170311,474843,484267,477973,-9424,-3130,-0.0194603390278503,-0.00654848704843161
"36","2021","서울","은평구","초등학교",2021-04-01,"남자",1601,1811,1758,-53,-157,-210,-0.0292655991165102,-0.0893060295790671,-0.115958034235229,474843,484267,477973,-9424,-3130,-0.0194603390278503,-0.00654848704843161
"37","2021","서울","서대문구","초등학교",2021-04-01,"전체",2225,2248,2254,6,-29,-23,0.00266903914590747,-0.012866015971606,-0.0102313167259786,307825,311586,312809,-3761,-4984,-0.0120705038095421,-0.0159330454047038
"38","2021","서울","서대문구","초등학교",2021-04-01,"여자",1127,1114,1127,13,0,13,0.0116696588868941,0,0.0116696588868941,307825,311586,312809,-3761,-4984,-0.0120705038095421,-0.0159330454047038
"39","2021","서울","서대문구","초등학교",2021-04-01,"남자",1098,1134,1127,-7,-29,-36,-0.00617283950617284,-0.0257320319432121,-0.0317460317460317,307825,311586,312809,-3761,-4984,-0.0120705038095421,-0.0159330454047038
"40","2021","서울","마포구","초등학교",2021-04-01,"전체",2298,2779,2707,-72,-409,-481,-0.025908600215905,-0.151089767270041,-0.173083843109032,369577,374824,374426,-5247,-4849,-0.0139985699955179,-0.0129504895493369
"41","2021","서울","마포구","초등학교",2021-04-01,"여자",1169,1358,1318,-40,-149,-189,-0.0294550810014728,-0.113050075872534,-0.139175257731959,369577,374824,374426,-5247,-4849,-0.0139985699955179,-0.0129504895493369
"42","2021","서울","마포구","초등학교",2021-04-01,"남자",1129,1421,1389,-32,-260,-292,-0.0225193525686137,-0.187185025197984,-0.2054890921886,369577,374824,374426,-5247,-4849,-0.0139985699955179,-0.0129504895493369
"43","2021","서울","양천구","초등학교",2021-04-01,"전체",3389,3370,3443,73,-54,19,0.0216617210682493,-0.0156839965146674,0.0056379821958457,452112,462126,457132,-10014,-5020,-0.0216694148349152,-0.0109815108108818
"44","2021","서울","양천구","초등학교",2021-04-01,"여자",1667,1630,1676,46,-9,37,0.0282208588957055,-0.00536992840095465,0.0226993865030675,452112,462126,457132,-10014,-5020,-0.0216694148349152,-0.0109815108108818
"45","2021","서울","양천구","초등학교",2021-04-01,"남자",1722,1740,1767,27,-45,-18,0.0155172413793103,-0.0254668930390492,-0.0103448275862069,452112,462126,457132,-10014,-5020,-0.0216694148349152,-0.0109815108108818
"46","2021","서울","강서구","초등학교",2021-04-01,"전체",4005,4738,4437,-301,-432,-733,-0.0635289151540735,-0.0973630831643002,-0.15470662726889,577580,596233,588281,-18653,-10701,-0.0312847494184321,-0.01819028661473
"47","2021","서울","강서구","초등학교",2021-04-01,"여자",2046,2402,2239,-163,-193,-356,-0.0678601165695254,-0.086199196069674,-0.148209825145712,577580,596233,588281,-18653,-10701,-0.0312847494184321,-0.01819028661473
"48","2021","서울","강서구","초등학교",2021-04-01,"남자",1959,2336,2198,-138,-239,-377,-0.0590753424657534,-0.108735213830755,-0.16138698630137,577580,596233,588281,-18653,-10701,-0.0312847494184321,-0.01819028661473
"49","2021","서울","구로구","초등학교",2021-04-01,"전체",2799,3166,3143,-23,-344,-367,-0.00726468730259002,-0.109449570474069,-0.115919140871762,400399,405516,405271,-5117,-4872,-0.0126184910089861,-0.0120215855563314
"50","2021","서울","구로구","초등학교",2021-04-01,"여자",1386,1563,1546,-17,-160,-177,-0.0108765195137556,-0.103492884864166,-0.113243761996161,400399,405516,405271,-5117,-4872,-0.0126184910089861,-0.0120215855563314
