"","시도","시군구","입학_전체_2021","입학_전체_2020","입학_전체_2019","입학_전체_2018","입학_전체_2017","입학_남_2021","입학_남_2020","입학_남_2019","입학_남_2018","입학_남_2017","입학_여_2021","입학_여_2020","입학_여_2019","입학_여_2018","입학_여_2017"
"58","인천","강화군",340,332,2431,2496,2513,180,165,1260,1284,1296,160,167,1171,1212,1217
"59","인천","옹진군",75,97,616,635,597,36,53,306,315,309,39,44,310,320,288
"60","광주","동구",622,569,3227,3211,3165,333,295,1662,1668,1682,289,274,1565,1543,1483
"61","광주","서구",2359,2558,17016,17233,17461,1215,1318,8830,8975,9047,1144,1240,8186,8258,8414
"62","광주","남구",2223,2160,13419,13118,12820,1107,1087,6857,6649,6518,1116,1073,6562,6469,6302
"63","광주","북구",3694,3635,23940,23808,23464,1889,1901,12558,12476,12337,1805,1734,11382,11332,11127
"64","광주","광산구",5298,4610,31388,31252,31279,2728,2333,16159,16074,16054,2570,2277,15229,15178,15225
"65","대전","동구",1660,1641,11381,11558,11794,873,805,5841,5966,6114,787,836,5540,5592,5680
"66","대전","중구",1656,1776,12375,12650,13082,823,909,6383,6498,6706,833,867,5992,6152,6376
"67","대전","서구",4042,4191,26760,26789,26732,2094,2170,13734,13717,13715,1948,2021,13026,13072,13017
"68","대전","유성구",3770,3715,23402,23219,23055,1951,1863,12030,11985,11886,1819,1852,11372,11234,11169
"69","대전","대덕구",1216,1261,8825,9237,9577,656,657,4580,4826,4984,560,604,4245,4411,4593
"70","울산","중구",1851,1924,12405,12371,12074,937,983,6558,6531,6374,914,941,5847,5840,5700
"71","울산","남구",2587,2523,16416,16401,16491,1339,1269,8599,8601,8642,1248,1254,7817,7800,7849
"72","울산","동구",1762,1683,10508,10353,10053,899,870,5462,5415,5283,863,813,5046,4938,4770
"73","울산","북구",2747,2709,15535,14646,13844,1415,1392,7976,7501,7099,1332,1317,7559,7145,6745
"74","울산","울주군",2010,2003,13648,13519,13554,1043,1005,6944,6989,7011,967,998,6704,6530,6543
"75","세종","세종시",5091,4877,27892,24865,20764,2646,2495,14134,12613,10483,2445,2382,13758,12252,10281
"76","경기","수원시",10595,10736,69546,69067,68095,5465,5516,35869,35569,34899,5130,5220,33677,33498,33196
"77","경기","성남시",7207,7248,46942,47386,47213,3657,3696,24230,24342,24211,3550,3552,22712,23044,23002
"78","경기","부천시",6286,6184,41053,41572,40820,3208,3184,20964,21265,20958,3078,3000,20089,20307,19862
"79","경기","안양시",4228,4137,28467,29276,29890,2167,2142,14669,15109,15445,2061,1995,13798,14167,14445
"80","경기","과천시",646,483,2826,2799,2973,332,253,1458,1467,1570,314,230,1368,1332,1403
"81","경기","안산시",5081,5067,34954,35622,36926,2574,2586,17936,18306,18975,2507,2481,17018,17316,17951
"82","경기","용인시",11029,10978,70018,68419,67328,5609,5538,35792,35146,34771,5420,5440,34226,33273,32557
"83","경기","군포시",2188,2337,15126,15530,15850,1133,1192,7833,8057,8215,1055,1145,7293,7473,7635
"84","경기","의왕시",1245,1282,7490,7397,7487,660,603,3894,3862,3920,585,679,3596,3535,3567
"85","경기","시흥시",5492,4951,29619,27185,25140,2799,2539,15170,13894,12774,2693,2412,14449,13291,12366
"86","경기","평택시",5350,5064,30978,29706,28674,2742,2519,15903,15233,14697,2608,2545,15075,14473,13977
"87","경기","화성시",11358,11080,63581,58143,52593,5694,5713,32457,29652,26796,5664,5367,31124,28491,25797
"88","경기","오산시",2682,2683,16571,16320,15696,1336,1377,8551,8384,8125,1346,1306,8020,7936,7571
"89","경기","광명시",2529,2629,18420,19063,19436,1288,1357,9385,9708,9928,1241,1272,9035,9355,9508
"90","경기","광주시",3745,3325,19866,18814,17608,1926,1690,10089,9546,8903,1819,1635,9777,9268,8705
"91","경기","하남시",3362,3020,16083,14275,12281,1718,1516,8197,7199,6326,1644,1504,7886,7076,5955
"92","경기","김포시",6219,5401,31544,28484,25578,3119,2748,16049,14622,13196,3100,2653,15495,13862,12382
"93","경기","이천시",2032,2033,13184,13080,12988,1089,1018,6780,6781,6766,943,1015,6404,6299,6222
"94","경기","안성시",1552,1685,10917,10821,10734,777,891,5588,5597,5551,775,794,5329,5224,5183
"95","경기","여주시",763,797,5428,5526,5548,395,423,2813,2841,2850,368,374,2615,2685,2698
"96","경기","양평군",791,745,5251,5272,5118,422,380,2704,2688,2631,369,365,2547,2584,2487
"97","경기","고양시",8557,8590,54934,54797,54467,4393,4350,28165,28071,27983,4164,4240,26769,26726,26484
"98","경기","남양주시",7065,7002,44661,43187,41985,3610,3615,22934,22224,21634,3455,3387,21727,20963,20351
"99","경기","구리시",1553,1590,10213,10151,9780,813,841,5297,5306,5166,740,749,4916,4845,4614
"100","경기","의정부시",3573,3543,22730,22370,21918,1825,1843,11706,11523,11297,1748,1700,11024,10847,10621
"101","경기","파주시",4941,4612,29748,28569,27888,2514,2341,15187,14559,14219,2427,2271,14561,14010,13669
"102","경기","동두천시",726,735,5014,5179,5231,399,380,2518,2589,2619,327,355,2496,2590,2612
"103","경기","양주시",2219,2059,13531,13088,13026,1154,1053,6845,6668,6720,1065,1006,6686,6420,6306
"104","경기","포천시",878,920,6727,7046,7217,428,493,3508,3699,3788,450,427,3219,3347,3429
"105","경기","가평군",330,354,2583,2587,2651,180,188,1302,1345,1390,150,166,1281,1242,1261
"106","경기","연천군",261,282,1739,1768,1802,129,142,911,928,949,132,140,828,840,853
"107","강원","춘천시",2327,2379,15001,14773,14701,1205,1218,7770,7648,7616,1122,1161,7231,7125,7085
"108","강원","원주시",2931,3005,19972,19636,19531,1485,1530,10209,10088,10056,1446,1475,9763,9548,9475
"109","강원","강릉시",1401,1448,10110,10120,10151,713,767,5244,5325,5346,688,681,4866,4795,4805
"110","강원","동해시",745,760,5019,4977,5062,383,389,2597,2593,2624,362,371,2422,2384,2438
"111","강원","태백시",289,282,2261,2307,2323,153,159,1123,1149,1166,136,123,1138,1158,1157
"112","강원","속초시",624,581,3901,3892,3870,321,276,1976,1981,1948,303,305,1925,1911,1922
"113","강원","삼척시",380,401,2792,2767,2783,199,202,1462,1451,1458,181,199,1330,1316,1325
"114","강원","홍천군",337,386,2846,2904,2938,159,197,1412,1448,1494,178,189,1434,1456,1444
"115","강원","횡성군",225,220,1684,1697,1694,112,114,872,883,873,113,106,812,814,821
"116","강원","영월군",180,168,1323,1371,1387,104,88,697,707,744,76,80,626,664,643
"117","강원","평창군",178,211,1595,1658,1708,77,120,824,871,909,101,91,771,787,799
"118","강원","정선군",214,188,1466,1469,1516,110,93,762,746,757,104,95,704,723,759
"119","강원","철원군",351,299,2109,2249,2326,183,141,1109,1190,1206,168,158,1000,1059,1120
"120","강원","화천군",175,182,1078,1087,1117,102,94,523,533,558,73,88,555,554,559
"121","강원","양구군",155,166,1090,1100,1104,86,83,558,559,563,69,83,532,541,541
"122","강원","인제군",221,249,1500,1547,1590,111,121,789,815,835,110,128,711,732,755
"123","강원","고성군",164,150,929,939,959,84,77,498,507,517,80,73,431,432,442
"124","강원","양양군",142,137,941,919,962,68,75,495,475,489,74,62,446,444,473
"125","충북","청주시",7946,8129,50790,49823,49407,4023,4144,26138,25634,25530,3923,3985,24652,24189,23877
"126","충북","충주시",1530,1594,10534,10445,10225,759,865,5378,5383,5266,771,729,5156,5062,4959
"127","충북","제천시",956,931,6432,6399,6326,480,475,3248,3239,3205,476,456,3184,3160,3121
"128","충북","보은군",148,146,1143,1142,1158,77,67,616,627,638,71,79,527,515,520
"129","충북","옥천군",299,272,2170,2233,2200,147,148,1125,1177,1143,152,124,1045,1056,1057
"130","충북","영동군",227,226,1711,1738,1745,107,114,911,931,937,120,112,800,807,808
"131","충북","진천군",866,846,5169,4604,4153,454,418,2670,2387,2157,412,428,2499,2217,1996
"132","충북","괴산군",166,144,1056,1065,1095,86,63,509,499,524,80,81,547,566,571
"133","충북","음성군",634,668,4559,4754,4744,332,339,2390,2465,2474,302,329,2169,2289,2270
"134","충북","단양군",118,116,1011,1047,1103,66,59,538,559,598,52,57,473,488,505
"135","충북","증평군",332,356,2134,2094,2084,146,184,1122,1108,1112,186,172,1012,986,972
"136","충남","천안시",6685,6790,42059,40495,39092,3417,3460,21677,21030,20215,3268,3330,20382,19465,18877
"137","충남","공주시",609,667,4460,4525,4601,330,351,2310,2322,2356,279,316,2150,2203,2245
"138","충남","보령시",674,641,4621,4740,4726,310,339,2339,2403,2458,364,302,2282,2337,2268
"139","충남","아산시",3507,3635,22801,21973,20778,1788,1896,11732,11292,10715,1719,1739,11069,10681,10063
"140","충남","서산시",1719,1654,10488,10195,10006,896,810,5451,5320,5220,823,844,5037,4875,4786
"141","충남","논산시",850,795,5709,5817,5834,418,413,2975,3002,3025,432,382,2734,2815,2809
"142","충남","계룡시",426,413,3161,3299,3258,212,187,1646,1721,1678,214,226,1515,1578,1580
"143","충남","금산군",256,298,2260,2314,2313,135,168,1175,1211,1213,121,130,1085,1103,1100
"144","충남","부여군",331,314,2345,2374,2481,175,175,1239,1264,1301,156,139,1106,1110,1180
"145","충남","서천군",261,257,1787,1845,1895,134,124,895,922,942,127,133,892,923,953
"146","충남","청양군",123,143,959,987,992,60,75,493,508,505,63,68,466,479,487
"147","충남","홍성군",829,859,5734,5732,5521,439,462,2917,2923,2776,390,397,2817,2809,2745
"148","충남","예산군",406,438,3007,3048,3040,210,228,1581,1576,1578,196,210,1426,1472,1462
"149","충남","태안군",322,360,2420,2492,2489,156,177,1256,1300,1297,166,183,1164,1192,1192
"150","충남","당진시",1718,1702,10613,10316,9937,854,850,5539,5419,5221,864,852,5074,4897,4716
"151","전북","전주시",6138,6164,39670,38967,38417,3146,3140,20378,20028,19953,2992,3024,19292,18939,18464
"152","전북","군산시",2392,2515,15877,15783,15680,1248,1283,8183,8108,8040,1144,1232,7694,7675,7640
"153","전북","익산시",2059,2158,15461,15688,15896,1065,1150,7871,7964,8135,994,1008,7590,7724,7761
"154","전북","정읍시",721,700,5195,5248,5277,355,365,2722,2767,2776,366,335,2473,2481,2501
"155","전북","남원시",544,533,3870,4014,4115,290,275,2019,2079,2120,254,258,1851,1935,1995
"156","전북","김제시",487,500,3644,3713,3637,259,270,1834,1884,1873,228,230,1810,1829,1764
"157","전북","완주군",666,705,4981,5052,5100,331,344,2655,2685,2685,335,361,2326,2367,2415
