"","prov","distinct","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","statistic.y","p.value.y"
"1","강원","고성군",0.0185665050438655,0.0035870966316876,5.17591438152326,0.000415528823602607,0.728187669949731,0.701006436944704,26.7900896848594,0.0004155288236026
"2","경북","안동시",0.011032573349547,0.00236779435998462,4.65943053839299,0.000895090611242226,0.684644982048696,0.653109480253565,21.7102929421093,0.000895090611242217
"3","경기","시흥시",0.00923679878954253,0.00138660424975733,6.661452819836,5.62831574771591e-05,0.816091797327793,0.797700977060573,44.3749536709014,5.62831574771569e-05
"4","전북","김제시",0.0074259700598161,0.00220672195562115,3.36515891406257,0.00717969040024074,0.531051309009208,0.484156439910129,11.3242945168949,0.00717969040024048
"5","서울","금천구",0.00654353844936324,0.00147404595485135,4.43916855361754,0.00125610222913051,0.663370133956042,0.629707147351647,19.7062174474269,0.00125610222913049
"6","충북","진천군",0.00638264108947827,0.00237440730491172,2.6880986578314,0.022773907819724,0.4194779451459,0.36142573966049,7.22587439423514,0.022773907819723
"7","서울","양천구",0.00614856903270373,0.00122273100398089,5.02855412407604,0.000515218145785113,0.716604348831564,0.68826478371472,25.2863565787624,0.000515218145785094
"8","경기","하남시",0.00607050197932322,0.0021487901852455,2.82507897746642,0.0180032006343507,0.443859608101941,0.388245568912135,7.98107122892273,0.0180032006343506
"9","충북","괴산군",0.00605478336530038,0.00228331431386952,2.65175202928561,0.0242400493943741,0.412862612209762,0.354148873430738,7.03178882482036,0.0242400493943739
"10","경기","안산시",0.00604728014313264,0.00114803177211256,5.267519845731,0.000364105278941327,0.735076637326276,0.708584301058904,27.7467653251702,0.000364105278941315
"11","부산","서구",0.0059977038580324,0.00212177419111655,2.82673994393164,0.0179519908839653,0.444149804023752,0.388564784426127,7.9904587106187,0.0179519908839651
"12","서울","영등포구",0.00594813326428803,0.000974620997222393,6.10302187336393,0.000115233241033626,0.788345794485914,0.767180373934506,37.2468759867589,0.000115233241033622
"13","서울","서대문구",0.00500432203201572,0.00168741840094144,2.96566757196894,0.0141502775369848,0.467948814889992,0.414743696378991,8.79518414742818,0.0141502775369846
"14","강원","정선군",0.0047434963926543,0.00179331158893775,2.64510441013995,0.0245182188618798,0.411646250910347,0.352810876001382,6.99657734054179,0.0245182188618798
"15","서울","광진구",0.00459983489802535,0.00106397674549027,4.32324758743273,0.00150542303018657,0.651452203335025,0.616597423668527,18.6904697022429,0.00150542303018658
"16","충남","예산군",0.00444649622016316,0.000665152314171483,6.68492933938257,5.46606242044607e-05,0.817145466082219,0.798860012690441,44.6882802725384,5.46606242044578e-05
"17","서울","노원구",0.00382560684780341,0.000662371065114494,5.77562494693534,0.000178798596028015,0.769361223105572,0.74629734541613,33.3578435276623,0.000178798596028006
"18","경기","화성시",0.00377240492627605,0.00145164397903966,2.59871220543462,0.0265501001778898,0.403102854965744,0.343413140462319,6.75330512667489,0.0265501001778896
"19","광주","서구",0.00370744430191479,0.000783638645579605,4.73106363861451,0.000802884387260413,0.691195646523449,0.660315211175794,22.3829631526207,0.000802884387260371
"20","충남","천안시",0.00368823363241125,0.00121359486970928,3.03909791023984,0.0124817808452726,0.480144539373596,0.428158993310956,9.23611610802438,0.0124817808452719
"21","충북","음성군",0.00353959516738236,0.0013412395859479,2.6390476425439,0.024774435016137,0.410536279425581,0.351589907368139,6.96457245961674,0.0247744350161354
"22","경북","칠곡군",0.00353099617898725,0.00133242012443382,2.65006217951538,0.0243104612524217,0.412553596479632,0.353808956127595,7.02282955529794,0.0243104612524206
"23","울산","북구",0.00347149623573849,0.00135217904672483,2.56733473584505,0.0280184653381488,0.397271120135415,0.336998232148956,6.59120764587669,0.0280184653381475
"24","서울","구로구",0.00326795045029392,0.00104165446178898,3.13726919066943,0.0105591033279344,0.496030178683584,0.445633196551942,9.84245797472371,0.0105591033279341
"25","충북","보은군",0.00314600834653809,0.00139013948393846,2.2630882604852,0.0471206790669239,0.33869293937989,0.272562233317879,5.121568474746,0.0471206790669228
"26","전남","화순군",0.00305377635229657,0.0012509188259869,2.44122663186184,0.034775918609767,0.373417388138589,0.310759126952448,5.95958746811158,0.0347759186097658
"27","경기","안성시",0.0027432453692363,0.000844024541813042,3.25019621271149,0.0087175964709579,0.513707974571277,0.465078772028405,10.5637754211244,0.00871759647095721
"28","서울","강남구",0.00268535908830026,0.000859708111914216,3.12357072253403,0.0108080928670225,0.493842442956156,0.443226687251772,9.75669405867191,0.010808092867022
"29","경기","평택시",0.00264847456827932,0.000564016713889081,4.69573773801349,0.000847026235898212,0.687987061014118,0.656785767115529,22.0499529042046,0.000847026235898135
"30","경남","김해시",0.00229551193998663,0.00077663596030821,2.9557116297778,0.0143933211586875,0.466274734082979,0.412902207491277,8.73623123840405,0.0143933211586863
"31","전남","목포시",0.00199531939840309,0.000836522613383131,2.38525458425261,0.0382674995690722,0.362628598457351,0.298891458303086,5.68943943169823,0.0382674995690704
"32","전북","전주시",0.00197338940854908,0.000401724026315363,4.91230118011394,0.000611818241158352,0.707008670933523,0.677709538026876,24.1307028841495,0.000611818241158283
"33","광주","북구",0.00194245449055803,0.00079027468148482,2.45794852861593,0.0337949205635566,0.376617326190655,0.314279058809721,6.0415109693254,0.0337949205635543
"34","제주","제주시",0.00119687033078424,0.00050159720265706,2.38611843216865,0.038211086028768,0.362795997021502,0.299075596723652,5.69356117233533,0.038211086028763
"35","경기","부천시",0.0010661547984718,0.000374620682558684,2.84595818679815,0.0173700386549397,0.447497878146256,0.392247665960882,8.09947800100423,0.0173700386549353
